target_id,repo,file,line,containing_type,method,receiver_type,kind
aspnetcore:0636,aspnetcore,src/Servers/Kestrel/Core/src/ListenOptionsHttpsExtensions.cs,195,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0637,aspnetcore,src/Servers/Kestrel/Core/src/ListenOptionsHttpsExtensions.cs,257,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0638,aspnetcore,src/Servers/Kestrel/Core/src/ListenOptionsHttpsExtensions.cs,258,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0639,aspnetcore,src/Servers/Kestrel/Core/src/Middleware/Internal/LoggingStream.cs,224,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0641,aspnetcore,src/Servers/Kestrel/Kestrel/src/WebHostBuilderKestrelExtensions.cs,91,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0642,aspnetcore,src/Servers/Kestrel/Kestrel/src/WebHostBuilderKestrelExtensions.cs,92,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0657,aspnetcore,src/Shared/AsyncEnumerableExtensions.cs,21,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0661,aspnetcore,src/Shared/EventSource.Testing/TestCounterListener.cs,54,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0662,aspnetcore,src/Shared/EventSource.Testing/TestCounterListener.cs,58,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0666,aspnetcore,src/Shared/RangeHelper/RangeHelper.cs,43,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0667,aspnetcore,src/Shared/RangeHelper/RangeHelper.cs,50,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0668,aspnetcore,src/Shared/RangeHelper/RangeHelper.cs,61,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0670,aspnetcore,src/Shared/SignalR/InProcessTestServer.cs,114,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0671,aspnetcore,src/Shared/SignalR/InProcessTestServer.cs,126,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0672,aspnetcore,src/Shared/SignalR/InProcessTestServer.cs,134,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0673,aspnetcore,src/Shared/SignalR/InProcessTestServer.cs,162,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
