target_id,repo,file,line,containing_type,method,receiver_type,kind
jellyfin:0693,jellyfin,MediaBrowser.Controller/SyncPlay/GroupStates/WaitingGroupState.cs,107,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0750,jellyfin,MediaBrowser.MediaEncoding/Encoder/EncoderValidator.cs,511,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0754,jellyfin,MediaBrowser.MediaEncoding/Encoder/EncoderValidator.cs,587,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0774,jellyfin,MediaBrowser.MediaEncoding/Encoder/MediaEncoder.cs,945,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0794,jellyfin,MediaBrowser.MediaEncoding/Subtitles/SubtitleEncoder.cs,457,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0853,jellyfin,MediaBrowser.Providers/Lyric/LyricScheduledTask.cs,132,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0856,jellyfin,MediaBrowser.Providers/Manager/ImageSaver.cs,201,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0923,jellyfin,MediaBrowser.Providers/MediaInfo/ProbeProvider.cs,167,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0935,jellyfin,MediaBrowser.Providers/Trickplay/TrickplayImagesTask.cs,107,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0972,jellyfin,src/Jellyfin.Database/Jellyfin.Database.Providers.Sqlite/SqliteDatabaseProvider.cs,97,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:0993,jellyfin,src/Jellyfin.Drawing/ImageProcessor.cs,367,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1039,jellyfin,src/Jellyfin.LiveTv/IO/EncodedRecorder.cs,231,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1040,jellyfin,src/Jellyfin.LiveTv/IO/EncodedRecorder.cs,240,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1052,jellyfin,src/Jellyfin.LiveTv/Listings/SchedulesDirect.cs,110,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1079,jellyfin,src/Jellyfin.LiveTv/LiveTvDtoService.cs,278,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1148,jellyfin,src/Jellyfin.LiveTv/TunerHosts/TunerHostManager.cs,123,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1152,jellyfin,src/Jellyfin.MediaEncoding.Hls/Cache/CacheDecorator.cs,50,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
jellyfin:1163,jellyfin,src/Jellyfin.Networking/Manager/NetworkManager.cs,161,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0004,orleans,src/AdoNet/Orleans.GrainDirectory.AdoNet/Hosting/AdoNetGrainDirectoryServiceCollectionExtensions.cs,18,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0007,orleans,src/AdoNet/Orleans.Persistence.AdoNet/Storage/Provider/AdoNetGrainStorageServiceCollectionExtensions.cs,65,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0009,orleans,src/AWS/Orleans.Persistence.DynamoDB/Hosting/DynamoDBGrainStorageServiceCollectionExtensions.cs,49,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0010,orleans,src/AWS/Orleans.Persistence.DynamoDB/Provider/DynamoDBGrainStorage.cs,415,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0011,orleans,src/Azure/Orleans.Clustering.AzureStorage/AzureTableClusteringExtensions.cs,63,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0015,orleans,src/Azure/Orleans.Clustering.Cosmos/CosmosClusteringProviderBuilder.cs,55,Microsoft.Extensions.Configuration.ConfigurationExtensions,GetConnectionString,Microsoft.Extensions.Configuration.IConfiguration,Extension
orleans:0028,orleans,src/Azure/Orleans.Persistence.AzureStorage/Providers/Storage/AzureTableStorage.cs,593,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0029,orleans,src/Azure/Orleans.Persistence.Cosmos/CosmosGrainStorage.cs,453,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0039,orleans,src/Azure/Orleans.Streaming.AzureStorage/Hosting/AzureQueueStreamProviderBuilder.cs,61,Microsoft.Extensions.Configuration.ConfigurationExtensions,GetConnectionString,Microsoft.Extensions.Configuration.IConfiguration,Extension
orleans:0044,orleans,src/Azure/Orleans.Transactions.AzureStorage/Hosting/AzureTableTransactionServicecollectionExtensions.cs,22,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0055,orleans,src/Orleans.Core/Configuration/OptionsOverrides.cs,29,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
orleans:0116,orleans,src/Orleans.Runtime/Core/InsideRuntimeClient.cs,438,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0190,orleans,src/Orleans.Streaming.NATS/Providers/NatsConnectionManager.cs,136,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0235,orleans,src/Orleans.Transactions.TestKit.Base/FaultInjection/ControlledInjection/SimpleAzureStorageExceptionInjector.cs,28,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0237,orleans,src/Orleans.Transactions.TestKit.Base/FaultInjection/ControlledInjection/SingleStateDeactivatingTransactionalGrain.cs,41,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0238,orleans,src/Orleans.Transactions.TestKit.Base/FaultInjection/ControlledInjection/SingleStateDeactivatingTransactionalGrain.cs,50,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0240,orleans,src/Orleans.Transactions.TestKit.Base/Grains/RemoteCommitService.cs,36,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
orleans:0245,orleans,src/Redis/Orleans.Clustering.Redis/Hosting/RedisClusteringProviderBuilder.cs,44,Microsoft.Extensions.Configuration.ConfigurationExtensions,GetConnectionString,Microsoft.Extensions.Configuration.IConfiguration,Extension
orleans:0248,orleans,src/Redis/Orleans.GrainDirectory.Redis/Hosting/RedisGrainDirectoryProviderBuilder.cs,41,Microsoft.Extensions.Configuration.ConfigurationExtensions,GetConnectionString,Microsoft.Extensions.Configuration.IConfiguration,Extension
roslyn:0002,roslyn,src/Workspaces/MSBuild/Core/MSBuild/BuildHostProcessManager.cs,64,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
roslyn:0003,roslyn,src/Workspaces/MSBuild/Core/MSBuild/BuildHostProcessManager.cs,78,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
roslyn:0004,roslyn,src/Workspaces/MSBuild/Core/MSBuild/BuildHostProcessManager.cs,157,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
roslyn:0009,roslyn,src/Workspaces/MSBuild/Core/MSBuild/BuildHostProcessManager.cs,528,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
roslyn:0010,roslyn,src/Workspaces/MSBuild/Core/MSBuild/BuildHostProcessManager.cs,530,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0014,semantic-kernel,dotnet/src/Connectors/Connectors.Amazon/Bedrock/Core/Clients/BedrockChatCompletionClient.cs,180,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0034,semantic-kernel,dotnet/src/Connectors/Connectors.AzureAIInference/Extensions/AzureAIInferenceServiceCollectionExtensions.cs,133,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
semantic-kernel:0060,semantic-kernel,dotnet/src/Connectors/Connectors.AzureOpenAI/Extensions/AzureOpenAIKernelBuilderExtensions.cs,826,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0079,semantic-kernel,dotnet/src/Connectors/Connectors.AzureOpenAI/Extensions/AzureOpenAIServiceCollectionExtensions.DependencyInjection.cs,56,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0088,semantic-kernel,dotnet/src/Connectors/Connectors.Google/Core/Gemini/Clients/GeminiChatCompletionClient.cs,495,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0095,semantic-kernel,dotnet/src/Connectors/Connectors.Google/Core/Gemini/Clients/GeminiChatCompletionClient.cs,824,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0101,semantic-kernel,dotnet/src/Connectors/Connectors.Google/Extensions/VertexAIKernelBuilderExtensions.cs,62,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0109,semantic-kernel,dotnet/src/Connectors/Connectors.Google/Extensions/VertexAIServiceCollectionExtensions.DependencyInjection.cs,60,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0110,semantic-kernel,dotnet/src/Connectors/Connectors.Google/Extensions/VertexAIServiceCollectionExtensions.DependencyInjection.cs,99,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0120,semantic-kernel,dotnet/src/Connectors/Connectors.HuggingFace/HuggingFaceServiceCollectionExtensions.cs,188,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0121,semantic-kernel,dotnet/src/Connectors/Connectors.HuggingFace/HuggingFaceServiceCollectionExtensions.cs,218,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0125,semantic-kernel,dotnet/src/Connectors/Connectors.HuggingFace/Services/HuggingFaceEmbeddingGenerator.cs,99,System.Net.Http.HttpMessageInvoker,Dispose,System.Net.Http.HttpClient,NonVirtual
semantic-kernel:0126,semantic-kernel,dotnet/src/Connectors/Connectors.MistralAI/Client/MistralClient.cs,128,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0150,semantic-kernel,dotnet/src/Connectors/Connectors.Ollama/Extensions/OllamaServiceCollectionExtensions.cs,156,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0158,semantic-kernel,dotnet/src/Connectors/Connectors.Ollama/Extensions/OllamaServiceCollectionExtensions.cs,344,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0195,semantic-kernel,dotnet/src/Connectors/Connectors.OpenAI/Extensions/OpenAIServiceCollectionExtensions.cs,85,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0208,semantic-kernel,dotnet/src/Connectors/Connectors.OpenAI/Extensions/OpenAIServiceCollectionExtensions.DependencyInjection.cs,152,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0217,semantic-kernel,dotnet/src/Experimental/Orchestration.Flow/Execution/FlowExecutor.cs,326,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0219,semantic-kernel,dotnet/src/Experimental/Orchestration.Flow/Execution/FlowExecutor.cs,377,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0238,semantic-kernel,dotnet/src/Experimental/Orchestration.Flow/Execution/ReActEngine.cs,157,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0263,semantic-kernel,dotnet/src/Functions/Functions.Grpc/Extensions/GrpcKernelExtensions.cs,105,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0276,semantic-kernel,dotnet/src/Functions/Functions.OpenApi.Extensions/Extensions/CopilotAgentPluginKernelExtensions.cs,114,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0305,semantic-kernel,dotnet/src/Plugins/Plugins.Core/CodeInterpreter/SessionsPythonPlugin.cs,94,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0319,semantic-kernel,dotnet/src/Plugins/Plugins.MsGraph/CalendarPlugin.cs,90,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0336,semantic-kernel,dotnet/src/Plugins/Plugins.Web/Brave/BraveConnector.cs,83,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0344,semantic-kernel,dotnet/src/Plugins/Plugins.Web/WebServiceCollectionExtensions.cs,36,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0351,semantic-kernel,dotnet/src/SemanticKernel.Abstractions/Kernel.cs,192,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0362,semantic-kernel,dotnet/src/SemanticKernel.Core/Data/TextSearch/TextSearchServiceCollectionExtensions.cs,42,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0366,semantic-kernel,dotnet/src/SemanticKernel.Core/Data/TextSearch/TextSearchServiceCollectionExtensions.cs,123,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0379,semantic-kernel,dotnet/src/SemanticKernel.Core/Functions/KernelFunctionFromPrompt.cs,776,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0399,semantic-kernel,dotnet/src/SemanticKernel.Core/TemplateEngine/Blocks/CodeBlock.cs,87,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0416,semantic-kernel,dotnet/src/SemanticKernel.Core/TemplateEngine/Blocks/VarBlock.cs,18,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0441,semantic-kernel,dotnet/src/VectorData/Chroma/ChromaClient.cs,122,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0444,semantic-kernel,dotnet/src/VectorData/Chroma/ChromaClient.cs,188,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0445,semantic-kernel,dotnet/src/VectorData/Chroma/ChromaMemoryStore.cs,75,Microsoft.Extensions.Logging.LoggerExtensions,LogError,Microsoft.Extensions.Logging.ILogger,Extension
semantic-kernel:0451,semantic-kernel,dotnet/src/VectorData/CosmosNoSql/CosmosNoSqlServiceCollectionExtensions.cs,57,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
semantic-kernel:0461,semantic-kernel,dotnet/src/VectorData/MongoDB/MongoServiceCollectionExtensions.cs,307,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0466,semantic-kernel,dotnet/src/VectorData/PgVector/PostgresServiceCollectionExtensions.cs,301,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0474,semantic-kernel,dotnet/src/VectorData/Qdrant/QdrantServiceCollectionExtensions.cs,248,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0475,semantic-kernel,dotnet/src/VectorData/Qdrant/QdrantServiceCollectionExtensions.cs,262,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
semantic-kernel:0478,semantic-kernel,dotnet/src/VectorData/Redis/RedisServiceCollectionExtensions.cs,259,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
server:0009,server,bitwarden_license/src/Commercial.Infrastructure.EntityFramework/SecretsManager/Repositories/ProjectRepository.cs,76,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
server:0015,server,bitwarden_license/src/Commercial.Infrastructure.EntityFramework/SecretsManager/Repositories/SecretRepository.cs,189,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
server:0018,server,bitwarden_license/src/Commercial.Infrastructure.EntityFramework/SecretsManager/Repositories/SecretRepository.cs,256,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
server:0021,server,bitwarden_license/src/Commercial.Infrastructure.EntityFramework/SecretsManager/Repositories/SecretRepository.cs,348,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
server:0053,server,src/Core/Billing/Services/Implementations/SubscriberService.cs,721,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
server:0067,server,src/Core/Platform/Mail/Delivery/SendGridMailDeliveryService.cs,86,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
server:0082,server,src/Core/Repositories/Implementations/AzurePhishingDomainRepository.cs,119,Microsoft.Extensions.Logging.LoggerExtensions,LogDebug,Microsoft.Extensions.Logging.ILogger,Extension
server:0083,server,src/Core/Services/Implementations/StripePaymentService.cs,781,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
server:0087,server,src/Core/Services/Implementations/StripePaymentService.cs,1113,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
server:0100,server,src/Infrastructure.EntityFramework/KeyManagement/Repositories/UserSignatureKeyPairRepository.cs,53,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
